"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "HTML", "JSON", "comment", "blank", "total"
"d:\Ayush\datavisual\VisualizationDashboard\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Ayush\datavisual\VisualizationDashboard\source\client\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\Ayush\datavisual\VisualizationDashboard\source\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 29865, 0, 1, 29866
"d:\Ayush\datavisual\VisualizationDashboard\source\client\package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 1, 44
"d:\Ayush\datavisual\VisualizationDashboard\source\client\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 23, 1, 43
"d:\Ayush\datavisual\VisualizationDashboard\source\client\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 1, 26
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\App.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 4, 30
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\Layouts\RootLayout.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\Pages\Dashboard\Dashboard.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\Pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 7, 40
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\Pages\PageNotFound\PageNotFound.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\components\Navbar\Navbar.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 4, 10
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\components\Sidebar\Sidebar.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\components\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\index.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\redux\slices\dataSlice.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 7, 104
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\redux\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 4, 15
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Controllers\dataController.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 6, 79
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Middlewares\errorHandlerMiddleware.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Middlewares\errorLoggerMiddleware.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 11, 54
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Models\dataModel.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 4, 60
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Routes\apiRouter.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Routes\dataRouter.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Services\dataService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 1, 5, 27
"d:\Ayush\datavisual\VisualizationDashboard\source\server\config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Ayush\datavisual\VisualizationDashboard\source\server\database\connection.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\Ayush\datavisual\VisualizationDashboard\source\server\index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 3, 5, 33
"d:\Ayush\datavisual\VisualizationDashboard\source\server\jsondata.json", "JSON", 0, 0, 0, 0, 0, 19002, 0, 0, 19002
"d:\Ayush\datavisual\VisualizationDashboard\source\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2121, 0, 1, 2122
"d:\Ayush\datavisual\VisualizationDashboard\source\server\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 1, 23
"Total", "-", 39, 408, 112, 41, 19, 51078, 28, 137, 51862
